dna_library_id	bam_read_pairs	bam_unmapped	bam_dup_frac	bam_unpaired	fq1_trimfile	fq2_trimfile	fq1_reads	fq1_reads_adap	fq1_trimfilter	fq1_bp	fq2_reads	fq2_reads_adap	fq2_trimfilter	fq2_bp	dna_insert_mean	dna_insert_sd	dna_frac_chr1	dna_frac_chr2	dna_frac_chr3	dna_frac_chr4	dna_frac_chr5	dna_frac_chr6	dna_frac_chr7	dna_frac_chr8	dna_frac_chr9	dna_frac_chr10	dna_frac_chr11	dna_frac_chr12	dna_frac_chr13	dna_frac_chr14	dna_frac_chr15	dna_frac_chr16	dna_frac_chr17	dna_frac_chr18	dna_frac_chr19	dna_frac_chr20	dna_frac_chr21	dna_frac_chr22	dna_frac_chrX	dna_frac_chrY	dna_frac_chrM
VZA02704D_A01	202	531	0.009367999999999998	23	/wrk/data/human_genomic/aligned/VZA02704D_A01/trimmed/VZA02704D_A01.1.trimming_report.txt	/wrk/data/human_genomic/aligned/VZA02704D_A01/trimmed/VZA02704D_A01.2.trimming_report.txt	3253	2083	3253	120361	3253	295	3253	120361	166.355	106.45030442210012	0.1551155115511551	0.09570957095709572	0.056105610561056105	0.0924092409240924	0.0297029702970297	0.0627062706270627	0.0297029702970297	0.039603960396039604	0.036303630363036306	0.056105610561056105	0.019801980198019802	0.066006600660066	0.0429042904290429	0.013201320132013201	0.019801980198019802	0.006600660066006601	NA	0.013201320132013201	0.013201320132013201	0.0924092409240924	0.013201320132013201	NA	0.026402640264026403	0.0033003300330033004	0.0165016501650165
VZA02704D_A02	149832	9749	0.020503	5713	/wrk/data/human_genomic/aligned/VZA02704D_A02/trimmed/VZA02704D_A02.1.trimming_report.txt	/wrk/data/human_genomic/aligned/VZA02704D_A02/trimmed/VZA02704D_A02.2.trimming_report.txt	163898	52794	163898	6064226	163898	52295	163898	6064226	163.33770016546555	113.12215387169998	0.07859055347140907	0.07914245866304696	0.06499802358275968	0.059609489786024865	0.057588323476107726	0.05679775657997777	0.051066146583035626	0.045409118368747246	0.0399049828088991	0.0684101401391696	0.04469686234440376	0.04630037067145979	0.03237222276086843	0.03116772697101006	0.025887336759123216	0.0279271485147038	0.030537510907585712	0.03836486899709877	0.023273245277108612	0.022184351250363585	0.01611339414234679	0.014446491300035053	0.04500264765328421	1.0441449571527659e-4	1.0441449571527659e-4
VZA02704D_A03	99200	7557	0.020094	4891	/wrk/data/human_genomic/aligned/VZA02704D_A03/trimmed/VZA02704D_A03.1.trimming_report.txt	/wrk/data/human_genomic/aligned/VZA02704D_A03/trimmed/VZA02704D_A03.2.trimming_report.txt	108904	35037	108904	4029448	108904	35034	108904	4029448	178.9447712215962	126.20567954947651	0.08223774500193257	0.08430475187515055	0.06547762423047407	0.06155647298046706	0.0596239055786779	0.0588564802626051	0.05366935732331012	0.05033637876080417	0.038948235201855266	0.04853264918580095	0.046661699875083326	0.04748514163758479	0.03230468465541483	0.03024327942683972	0.028445151496479366	0.029134153787552027	0.03175012183577098	0.02712876500540559	0.022843506853612222	0.022888320010755157	0.012721334983951288	0.014435438244668634	0.05024115080187543	1.5684605000028008e-4	1.6804933928601437e-5
VZA02704D_A04	402940	18388	0.029512999999999998	11072	/wrk/data/human_genomic/aligned/VZA02704D_A04/trimmed/VZA02704D_A04.1.trimming_report.txt	/wrk/data/human_genomic/aligned/VZA02704D_A04/trimmed/VZA02704D_A04.2.trimming_report.txt	427256	137737	427256	15808472	427256	136791	427256	15808472	161.0632777900371	109.57374655312125	0.07952318929267184	0.08027969750899669	0.06522672789845105	0.061187338943751717	0.05874798591968381	0.057563397914900546	0.05260890069110324	0.04798563897575244	0.039367901594983185	0.07028789418429045	0.04605156045609445	0.04743825826264169	0.031954401783057584	0.030069447173550565	0.026286906091926274	0.027896766804587893	0.029885583395556952	0.026066550266391948	0.02173662847165691	0.02206926752039344	0.016629145356246596	0.013556795661376256	0.047121058157095455	1.5158235132297707e-4	3.0737532351603685e-4
VZA02704D_A05	116001	8274	0.02008	5250	/wrk/data/human_genomic/aligned/VZA02704D_A05/trimmed/VZA02704D_A05.1.trimming_report.txt	/wrk/data/human_genomic/aligned/VZA02704D_A05/trimmed/VZA02704D_A05.2.trimming_report.txt	126909	41213	126909	4695633	126909	40680	126909	4695633	168.44941330201922	115.99423707931732	0.07956339275401378	0.08131521195087206	0.0649953798175028	0.05921533900589073	0.056645362491818424	0.05575982751318677	0.053464174334886226	0.04593712701651715	0.03767373811265545	0.07001501559311593	0.04719323913294575	0.047992145689754746	0.033558888076079006	0.031022600392715514	0.026676741231278635	0.028101297501251298	0.03039695067955184	0.026339852924190506	0.023091287105840682	0.02443402764409194	0.01602144534709121	0.01395198860354984	0.046148885380972546	1.4438070303777e-4	3.4170099718938896e-4
VZA02704D_A06	257700	14266	0.024153	8142	/wrk/data/human_genomic/aligned/VZA02704D_A06/trimmed/VZA02704D_A06.1.trimming_report.txt	/wrk/data/human_genomic/aligned/VZA02704D_A06/trimmed/VZA02704D_A06.2.trimming_report.txt	277895	91500	277895	10282115	277895	88833	277895	10282115	164.5526319989148	115.35660044370493	0.07968414281400835	0.08439705760083319	0.06960410640597582	0.06266601318915986	0.06089812314841962	0.05833161941353311	0.054620800714157564	0.0503826781783731	0.04000070015447158	0.04790806971788151	0.04583386209582489	0.04676813071883985	0.03222023358903558	0.030981835367427938	0.02869101745572617	0.028174653532935703	0.029870340143794225	0.02724257289264444	0.021536313949265057	0.02292349499608351	0.012976925534195983	0.013867434502737166	0.04989475803099059	1.1596308435548594e-4	4.0915276932973336e-4
VZA02704D_A07	231610	14963	0.022139999999999996	8725	/wrk/data/human_genomic/aligned/VZA02704D_A07/trimmed/VZA02704D_A07.1.trimming_report.txt	/wrk/data/human_genomic/aligned/VZA02704D_A07/trimmed/VZA02704D_A07.2.trimming_report.txt	252231	80446	252231	9332547	252231	80307	252231	9332547	158.4925910011119	110.67196182923702	0.08051313823390065	0.08404582285554624	0.0698349065199169	0.06249255925264526	0.06106150612874619	0.058337888892938276	0.05333041777518617	0.049323954954626624	0.03959327963847079	0.0478394499313629	0.046109552097379644	0.04692833801037453	0.03319119987365915	0.03171398374576333	0.029167729630574485	0.028749832962814484	0.029872322849472163	0.02641738644508425	0.022731635020712612	0.022911427773120982	0.012835744742884216	0.013428574899473985	0.04931180679568011	1.336297484116282e-4	1.2391122125441888e-4
VZA02704D_A08	462546	26155	0.018660000000000003	15509	/wrk/data/human_genomic/aligned/VZA02704D_A08/trimmed/VZA02704D_A08.1.trimming_report.txt	/wrk/data/human_genomic/aligned/VZA02704D_A08/trimmed/VZA02704D_A08.2.trimming_report.txt	498322	167905	498322	18437914	498322	161864	498322	18437914	124.46834960409296	81.76254948772302	0.08122019760492949	0.08306349980503534	0.0647466009531877	0.06137291788137592	0.059538172123843505	0.058627522164242135	0.05439452778826961	0.04891229279657547	0.0399610315158227	0.04781951284505383	0.035724370093032976	0.050244653140153306	0.033511918513330324	0.031338582099677666	0.029266700647967173	0.034259996064036416	0.03144981585313233	0.026356287824059983	0.023686677741148056	0.02378813270309022	0.016930755154951065	0.014802645652043707	0.04860792791074897	1.5157126844371756e-4	2.2368985584838961e-4
VZA02704D_A09	196195	13331	0.023871999999999997	8327	/wrk/data/human_genomic/aligned/VZA02704D_A09/trimmed/VZA02704D_A09.1.trimming_report.txt	/wrk/data/human_genomic/aligned/VZA02704D_A09/trimmed/VZA02704D_A09.2.trimming_report.txt	213893	71196	213893	7914041	213893	68558	213893	7914041	177.08516378456815	122.28848834004465	0.08046984123371728	0.08089371108007157	0.06455623102897962	0.060391496431243474	0.05942712141168572	0.05650554871231754	0.05310321088520523	0.046782145122794244	0.039089903078888155	0.07018886388657357	0.0454280374257161	0.04831262819218088	0.032703407742878846	0.03023984205869886	0.026911468097393344	0.027648261991391743	0.03016018866475309	0.025056681924084626	0.022174935921689336	0.02259027147583515	0.0160786065207682	0.014018997334456067	0.04683335087604509	1.877544285864652e-4	2.4749447404579504e-4
VZA02704D_A10	254443	15521	0.024582	9543	/wrk/data/human_genomic/aligned/VZA02704D_A10/trimmed/VZA02704D_A10.1.trimming_report.txt	/wrk/data/human_genomic/aligned/VZA02704D_A10/trimmed/VZA02704D_A10.2.trimming_report.txt	276265	88416	276265	10221805	276265	88652	276265	10221805	165.82277166092706	115.09185744179322	0.07798447865649584	0.08012954335085173	0.06544104164871749	0.06037108956473523	0.05839833696735128	0.058374036543419335	0.05331513010667886	0.048717931724645266	0.03923634813229151	0.06960966891776957	0.045072868134854095	0.046608213101463104	0.03302206699405965	0.03061411589534912	0.02651397163919614	0.027877004508833205	0.03021205433574791	0.025623692471507753	0.022177450532068828	0.02264136771622407	0.015943287228801745	0.013482317023330616	0.048225295857661374	1.7452122642030456e-4	2.3416772152597826e-4
